age,gender,bmi,fitness_level,goal,workout_plan
29,Male,21.6,Intermediate,Cut,HIIT + Strength
32,Female,24.0,Intermediate,Cut,HIIT + Strength
42,Male,30.7,Advanced,Cut,Advanced HIIT
46,Male,32.0,Advanced,Cut,Advanced HIIT
37,Male,20.9,Advanced,Cut,Advanced HIIT
38,Male,34.5,Advanced,Cut,Advanced HIIT
46,Male,31.0,Advanced,Cut,Advanced HIIT
50,Male,33.8,Advanced,Cut,Advanced HIIT
49,Female,26.8,Advanced,Cut,Advanced HIIT
33,Male,20.4,Advanced,Cut,Advanced HIIT
22,Female,33.9,Advanced,Cut,Advanced HIIT
41,Male,19.7,Advanced,Cut,Advanced HIIT
34,Male,19.9,Advanced,Cut,Advanced HIIT
18,Female,31.1,Advanced,Cut,Advanced HIIT
42,Female,24.7,Advanced,Cut,Advanced HIIT
19,Male,21.8,Advanced,Cut,Advanced HIIT
36,Female,33.7,Advanced,Cut,Advanced HIIT
42,Male,20.1,Advanced,Cut,Advanced HIIT
45,Male,18.7,Advanced,Cut,Advanced HIIT
34,Female,28.0,Advanced,Cut,Advanced HIIT
36,Male,30.4,Advanced,Cut,Advanced HIIT
40,Male,30.4,Advanced,Cut,Advanced HIIT
37,Female,30.1,Advanced,Cut,Advanced HIIT
41,Male,24.1,Advanced,Cut,Advanced HIIT
26,Female,23.5,Advanced,Cut,Advanced HIIT
46,Male,33.4,Advanced,Cut,Advanced HIIT
49,Female,21.9,Advanced,Cut,Advanced HIIT
44,Male,19.6,Advanced,Cut,Advanced HIIT
37,Female,27.2,Advanced,Cut,Advanced HIIT
48,Female,24.0,Advanced,Cut,Advanced HIIT
21,Female,27.7,Advanced,Cut,Advanced HIIT
33,Female,28.4,Advanced,Cut,Advanced HIIT
40,Male,28.3,Advanced,Cut,Advanced HIIT
48,Female,32.0,Advanced,Cut,Advanced HIIT
20,Male,27.2,Advanced,Cut,Advanced HIIT
18,Male,22.2,Advanced,Cut,Advanced HIIT
50,Female,22.4,Beginner,Maintain,Cardio Circuit
25,Male,31.2,Beginner,Maintain,Cardio Circuit
47,Female,27.1,Beginner,Maintain,Cardio Circuit
19,Male,29.2,Beginner,Maintain,Cardio Circuit
20,Male,24.3,Beginner,Maintain,Cardio Circuit
31,Male,23.0,Beginner,Maintain,Cardio Circuit
23,Male,20.6,Beginner,Maintain,Cardio Circuit
42,Female,21.6,Beginner,Maintain,Cardio Circuit
29,Female,30.5,Beginner,Maintain,Cardio Circuit
33,Female,31.4,Beginner,Maintain,Cardio Circuit
46,Male,30.3,Beginner,Maintain,Cardio Circuit
20,Female,31.8,Beginner,Maintain,Cardio Circuit
37,Male,20.6,Beginner,Maintain,Cardio Circuit
50,Male,27.2,Beginner,Maintain,Cardio Circuit
25,Female,31.5,Beginner,Maintain,Cardio Circuit
28,Male,22.9,Beginner,Maintain,Cardio Circuit
33,Male,23.0,Beginner,Maintain,Cardio Circuit
28,Female,33.1,Beginner,Maintain,Cardio Circuit
24,Female,30.0,Beginner,Maintain,Cardio Circuit
34,Male,31.1,Beginner,Maintain,Cardio Circuit
28,Male,22.4,Beginner,Maintain,Cardio Circuit
31,Female,23.2,Beginner,Maintain,Cardio Circuit
47,Male,18.8,Beginner,Maintain,Cardio Circuit
31,Female,27.8,Beginner,Maintain,Cardio Circuit
47,Female,26.5,Beginner,Maintain,Cardio Circuit
39,Female,33.4,Beginner,Maintain,Cardio Circuit
23,Male,29.0,Beginner,Maintain,Cardio Circuit
41,Female,28.1,Beginner,Maintain,Cardio Circuit
32,Male,24.8,Beginner,Maintain,Cardio Circuit
20,Female,27.4,Beginner,Maintain,Cardio Circuit
31,Female,33.9,Beginner,Maintain,Cardio Circuit
27,Male,21.4,Beginner,Maintain,Cardio Circuit
25,Male,34.3,Beginner,Maintain,Cardio Circuit
32,Female,19.9,Beginner,Maintain,Cardio Circuit
20,Male,32.3,Intermediate,Maintain,Running Program
23,Female,21.4,Intermediate,Maintain,Running Program
43,Female,25.8,Intermediate,Maintain,Running Program
29,Male,21.2,Intermediate,Maintain,Running Program
30,Male,22.5,Intermediate,Maintain,Running Program
37,Female,34.9,Intermediate,Maintain,Running Program
29,Female,32.9,Intermediate,Maintain,Running Program
22,Male,32.7,Intermediate,Maintain,Running Program
30,Female,25.9,Intermediate,Maintain,Running Program
33,Male,32.5,Intermediate,Maintain,Running Program
50,Female,20.5,Intermediate,Maintain,Running Program
48,Male,24.0,Intermediate,Maintain,Running Program
40,Male,22.0,Intermediate,Maintain,Running Program
38,Female,19.2,Intermediate,Maintain,Running Program
35,Female,27.8,Intermediate,Maintain,Running Program
26,Male,32.9,Intermediate,Maintain,Running Program
41,Female,24.7,Intermediate,Maintain,Running Program
37,Male,23.1,Intermediate,Maintain,Running Program
18,Male,31.7,Intermediate,Maintain,Running Program
48,Female,19.9,Intermediate,Maintain,Running Program
32,Male,19.7,Intermediate,Maintain,Running Program
45,Female,20.9,Intermediate,Maintain,Running Program
34,Female,23.2,Intermediate,Maintain,Running Program
44,Female,29.3,Intermediate,Maintain,Running Program
27,Female,26.7,Intermediate,Maintain,Running Program
31,Male,23.5,Intermediate,Maintain,Running Program
35,Male,25.3,Intermediate,Maintain,Running Program
45,Male,27.8,Intermediate,Maintain,Running Program
35,Male,28.7,Intermediate,Maintain,Running Program
46,Male,24.6,Intermediate,Maintain,Running Program
47,Female,32.0,Intermediate,Maintain,Running Program
41,Male,19.6,Intermediate,Maintain,Running Program
25,Male,23.3,Intermediate,Maintain,Running Program
20,Female,20.8,Intermediate,Maintain,Running Program
49,Female,21.0,Advanced,Maintain,Marathon Training
30,Female,26.0,Advanced,Maintain,Marathon Training
47,Female,31.2,Advanced,Maintain,Marathon Training
26,Male,20.1,Advanced,Maintain,Marathon Training
29,Female,18.5,Advanced,Maintain,Marathon Training
21,Male,27.1,Advanced,Maintain,Marathon Training
48,Male,33.1,Advanced,Maintain,Marathon Training
50,Female,33.2,Advanced,Maintain,Marathon Training
38,Male,28.2,Advanced,Maintain,Marathon Training
38,Female,27.2,Advanced,Maintain,Marathon Training
45,Female,23.4,Advanced,Maintain,Marathon Training
37,Male,32.5,Advanced,Maintain,Marathon Training
46,Female,26.0,Advanced,Maintain,Marathon Training
47,Female,31.3,Advanced,Maintain,Marathon Training
35,Female,23.2,Advanced,Maintain,Marathon Training
25,Female,29.0,Advanced,Maintain,Marathon Training
36,Male,19.5,Advanced,Maintain,Marathon Training
20,Female,33.7,Advanced,Maintain,Marathon Training
46,Female,34.5,Advanced,Maintain,Marathon Training
35,Female,21.8,Advanced,Maintain,Marathon Training
21,Male,26.3,Advanced,Maintain,Marathon Training
27,Male,31.6,Advanced,Maintain,Marathon Training
31,Male,20.8,Advanced,Maintain,Marathon Training
32,Female,30.8,Advanced,Maintain,Marathon Training
35,Male,31.2,Advanced,Maintain,Marathon Training
23,Male,28.4,Advanced,Maintain,Marathon Training
18,Male,27.8,Advanced,Maintain,Marathon Training
35,Female,20.5,Advanced,Maintain,Marathon Training
36,Female,32.0,Advanced,Maintain,Marathon Training
48,Male,32.0,Advanced,Maintain,Marathon Training
27,Male,34.8,Advanced,Maintain,Marathon Training
39,Female,32.2,Advanced,Maintain,Marathon Training
28,Male,33.3,Advanced,Maintain,Marathon Training
39,Female,29.5,Advanced,Maintain,Marathon Training
22,Male,17.2,Beginner,Bulk,Full Body Beginner
19,Female,17.8,Beginner,Bulk,Full Body Beginner
24,Male,18.1,Beginner,Bulk,Full Body Beginner
27,Female,17.5,Beginner,Bulk,Full Body Beginner
21,Male,16.9,Beginner,Bulk,Full Body Beginner
30,Male,17.6,Beginner,Bulk,Full Body Beginner
23,Female,18.0,Beginner,Bulk,Full Body Beginner
26,Male,17.3,Beginner,Bulk,Full Body Beginner
20,Female,17.9,Beginner,Bulk,Full Body Beginner
28,Male,18.2,Beginner,Bulk,Full Body Beginner
32,Male,17.8,Beginner,Bulk,Full Body Beginner
18,Female,17.1,Beginner,Bulk,Full Body Beginner
25,Male,18.4,Beginner,Bulk,Full Body Beginner
31,Female,17.6,Beginner,Bulk,Full Body Beginner
29,Male,18.3,Beginner,Bulk,Full Body Beginner
24,Female,17.4,Beginner,Bulk,Full Body Beginner
35,Male,18.2,Beginner,Bulk,Full Body Beginner
27,Female,18.0,Beginner,Bulk,Full Body Beginner
22,Male,17.5,Beginner,Bulk,Full Body Beginner
33,Male,17.9,Beginner,Bulk,Full Body Beginner
20,Female,18.3,Beginner,Bulk,Full Body Beginner
26,Male,17.7,Beginner,Bulk,Full Body Beginner
23,Female,17.2,Beginner,Bulk,Full Body Beginner
28,Male,18.1,Beginner,Bulk,Full Body Beginner
21,Female,17.8,Beginner,Bulk,Full Body Beginner
34,Male,18.4,Beginner,Bulk,Full Body Beginner
25,Female,17.3,Beginner,Bulk,Full Body Beginner
30,Male,17.6,Beginner,Bulk,Full Body Beginner
19,Female,18.2,Beginner,Bulk,Full Body Beginner
27,Male,17.4,Beginner,Bulk,Full Body Beginner
24,Female,17.9,Beginner,Bulk,Full Body Beginner
31,Male,18.0,Beginner,Bulk,Full Body Beginner
22,Female,17.5,Beginner,Bulk,Full Body Beginner
29,Male,18.3,Beginner,Bulk,Full Body Beginner
20,Male,17.2,Intermediate,Bulk,Push Pull Legs
24,Female,17.9,Intermediate,Bulk,Push Pull Legs
27,Male,18.1,Intermediate,Bulk,Push Pull Legs
22,Female,17.6,Intermediate,Bulk,Push Pull Legs
31,Male,17.8,Intermediate,Bulk,Push Pull Legs
25,Female,18.3,Intermediate,Bulk,Push Pull Legs
29,Male,17.4,Intermediate,Bulk,Push Pull Legs
23,Female,17.5,Intermediate,Bulk,Push Pull Legs
34,Male,18.0,Intermediate,Bulk,Push Pull Legs
26,Female,17.3,Intermediate,Bulk,Push Pull Legs
21,Male,18.4,Intermediate,Bulk,Push Pull Legs
28,Female,17.7,Intermediate,Bulk,Push Pull Legs
35,Male,17.9,Intermediate,Bulk,Push Pull Legs
24,Female,18.2,Intermediate,Bulk,Push Pull Legs
30,Male,17.5,Intermediate,Bulk,Push Pull Legs
19,Female,17.2,Intermediate,Bulk,Push Pull Legs
27,Male,18.3,Intermediate,Bulk,Push Pull Legs
22,Female,17.8,Intermediate,Bulk,Push Pull Legs
33,Male,17.6,Intermediate,Bulk,Push Pull Legs
20,Female,18.1,Intermediate,Bulk,Push Pull Legs
31,Male,17.4,Intermediate,Bulk,Push Pull Legs
26,Female,17.9,Intermediate,Bulk,Push Pull Legs
29,Male,18.2,Intermediate,Bulk,Push Pull Legs
23,Female,17.5,Intermediate,Bulk,Push Pull Legs
32,Male,17.7,Intermediate,Bulk,Push Pull Legs
21,Female,18.0,Intermediate,Bulk,Push Pull Legs
28,Male,17.3,Intermediate,Bulk,Push Pull Legs
34,Female,18.4,Intermediate,Bulk,Push Pull Legs
25,Male,17.8,Intermediate,Bulk,Push Pull Legs
30,Female,17.6,Intermediate,Bulk,Push Pull Legs
19,Male,18.1,Intermediate,Bulk,Push Pull Legs
27,Female,17.4,Intermediate,Bulk,Push Pull Legs
24,Male,17.9,Intermediate,Bulk,Push Pull Legs
31,Female,18.3,Intermediate,Bulk,Push Pull Legs
23,Male,17.2,Advanced,Bulk,Bro Split
26,Female,17.8,Advanced,Bulk,Bro Split
30,Male,18.1,Advanced,Bulk,Bro Split
21,Female,17.6,Advanced,Bulk,Bro Split
35,Male,17.4,Advanced,Bulk,Bro Split
28,Female,18.3,Advanced,Bulk,Bro Split
24,Male,17.9,Advanced,Bulk,Bro Split
32,Female,17.5,Advanced,Bulk,Bro Split
27,Male,18.2,Advanced,Bulk,Bro Split
20,Female,17.3,Advanced,Bulk,Bro Split
31,Male,18.4,Advanced,Bulk,Bro Split
25,Female,17.7,Advanced,Bulk,Bro Split
29,Male,17.8,Advanced,Bulk,Bro Split
22,Female,18.0,Advanced,Bulk,Bro Split
34,Male,17.5,Advanced,Bulk,Bro Split
19,Female,17.2,Advanced,Bulk,Bro Split
27,Male,18.1,Advanced,Bulk,Bro Split
23,Female,17.9,Advanced,Bulk,Bro Split
33,Male,17.6,Advanced,Bulk,Bro Split
21,Female,18.2,Advanced,Bulk,Bro Split
30,Male,17.4,Advanced,Bulk,Bro Split
24,Female,17.8,Advanced,Bulk,Bro Split
35,Male,18.3,Advanced,Bulk,Bro Split
26,Female,17.5,Advanced,Bulk,Bro Split
28,Male,17.7,Advanced,Bulk,Bro Split
22,Female,18.4,Advanced,Bulk,Bro Split
31,Male,17.3,Advanced,Bulk,Bro Split
25,Female,18.0,Advanced,Bulk,Bro Split
29,Male,17.6,Advanced,Bulk,Bro Split
20,Female,18.1,Advanced,Bulk,Bro Split
34,Male,17.9,Advanced,Bulk,Bro Split
23,Female,17.4,Advanced,Bulk,Bro Split
27,Male,18.2,Advanced,Bulk,Bro Split
32,Female,17.8,Advanced,Bulk,Bro Split
